Exercise_A,Exercise_B,Similarity_avg,Similarity_raw,Difficulty_avg,Difficulty_raw,Prerequisite_avg,Prerequisite_raw
solving_quadratics_by_taking_the_square_root,angle_bisector_theorem,1.444444444,1_1_1_1_1_1_1_3_3,5.333333333,6_7_4_3_6_9_2_6_5,1.777777778,3_1_1_1_1_1_1_2_5
solving_quadratics_by_taking_the_square_root,factoring_polynomials_1,6,4_7_6_2_6_7_6_8_8,5.111111111,1_7_7_3_6_9_3_6_4,4.333333333,4_1_5_1_7_1_6_7_7
solving_quadratics_by_taking_the_square_root,triangle_angles_sum,1.222222222,1_1_2_1_1_1_1_1_2,1.777777778,1_1_1_1_4_5_1_1_1,1.222222222,1_1_1_1_1_1_1_1_3
solving_quadratics_by_taking_the_square_root,completing_the_square_1,7.444444444,6_8_8_9_8_8_6_8_6,4.555555556,1_7_6_5_6_5_4_4_3,7,6_1_7_9_8_9_7_8_8
solving_quadratics_by_taking_the_square_root,multiplying_polynomials,5,5_7_7_2_6_1_3_6_8,4,7_2_2_4_4_5_3_4_5,5.555555556,3_6_7_2_6_9_2_7_8
solving_quadratics_by_taking_the_square_root,multiplying_expressions_1,5.333333333,6_7_7_2_7_1_3_7_8,3.444444444,6_1_3_3_4_3_3_4_4,5.777777778,4_7_6_2_7_9_2_6_9
identifying_points_2,functions_1,6.4,8_6_6_8_4_8_6_4_8_6,5.9,4_6_7_6_8_6_8_2_5_7,4.7,7_7_5_8_2_4_2_3_6_3
identifying_points_2,graphing_points,7.7,7_8_7_8_9_9_8_8_7_6,3,2_5_1_3_5_5_1_1_3_4,7.2,8_6_4_8_9_9_8_6_7_7
identifying_points_2,interpreting_linear_equations,7.2,7_7_9_8_3_9_7_7_8_7,4.6,2_5_6_5_9_5_5_1_4_4,6.8,8_7_7_8_3_9_5_6_7_8
identifying_points_2,identifying_points_1,8.3,7_7_9_8_9_9_8_8_9_9,3.5,2_5_1_5_5_5_2_1_5_4,8.1,8_6_9_8_9_9_8_8_7_9
identifying_points_2,linear_equations_1,5.1,6_4_6_6_8_3_2_5_4_7,4.6,6_4_3_6_7_4_6_1_5_4,4.4,4_6_6_4_4_3_3_2_4_8
identifying_points_1,graphing_points,8.555555556,8_9_9_9_9_8_9_8_8,3.222222222,1_1_5_5_3_4_1_5_4,8,8_9_9_9_9_9_9_2_8
identifying_points_1,interpreting_linear_equations,6.111111111,8_8_2_8_9_6_7_1_6,7,6_7_9_5_5_6_9_8_8,3.777777778,3_4_1_9_7_6_1_1_2
identifying_points_1,slope_of_a_line,4.555555556,3_6_2_4_6_5_6_3_6,8,9_9_9_6_8_7_9_7_8,2.333333333,2_1_2_4_2_5_1_2_2
identifying_points_1,graphing_points_2,8.333333333,7_9_9_9_9_8_9_8_7,4.444444444,5_5_5_5_4_5_1_5_5,7.444444444,7_7_9_9_8_8_8_4_7
identifying_points_1,linear_equations_1,4.111111111,2_5_6_3_6_2_4_3_6,7,6_8_9_7_6_7_5_8_7,3.222222222,2_5_2_4_5_2_5_2_2
dividing_decimals_2,dividing_decimals_1,7.571428571,9_7_8_8_5_8_8,4.714285714,5_4_5_5_5_5_4,6.571428571,6_8_3_9_5_7_8
dividing_decimals_2,dividing_decimals,7.428571429,8_7_8_7_6_8_8,6.857142857,7_7_6_8_6_7_7,3.571428571,3_3_4_5_4_3_3
dividing_decimals_2,division_4,6.857142857,8_6_7_6_5_8_8,5,4_4_7_8_5_3_4,6.142857143,7_7_5_3_5_8_8
dividing_decimals_2,dividing_decimals_0.5,7.285714286,8_7_7_6_7_8_8,3.714285714,5_3_3_4_5_4_2,5.857142857,6_6_6_5_5_7_6
creating_box_and_whisker_plots,average_word_problems,4.272727273,3_1_6_5_1_6_3_5_6_3_8,2.818181818,4_1_1_4_3_2_3_2_2_3_6,5.272727273,4_1_9_6_1_7_4_6_8_7_5
creating_box_and_whisker_plots,mean_median_and_mode,5.454545455,7_1_7_6_2_6_3_5_8_6_9,2,1_1_1_4_1_1_2_1_1_5_4,6,6_1_9_6_2_6_5_9_7_6_9
creating_box_and_whisker_plots,order_of_operations,1.363636364,1_1_1_2_1_1_2_1_1_1_3,2.818181818,4_1_1_5_2_1_3_2_2_4_6,2.272727273,1_1_2_3_1_1_6_4_1_1_4
creating_box_and_whisker_plots,exploring_mean_and_median,5.363636364,8_2_7_4_1_6_3_7_7_6_8,4.363636364,3_7_1_7_5_5_3_5_3_4_5,5.090909091,8_3_9_3_1_5_4_5_6_7_5
reading_bar_charts_3,place_value,2,1_3_1_2_1_1_1_6_2,1.666666667,1_1_1_2_4_1_1_2_2,3.222222222,2_4_1_8_1_1_1_7_4
reading_bar_charts_3,exploring_mean_and_median,5,6_4_3_7_3_8_1_7_6,4.666666667,2_3_3_5_6_2_6_8_7,4.555555556,6_5_2_5_6_8_1_6_2
reading_bar_charts_3,telling_time_comparing,2.444444444,2_5_1_2_1_1_1_7_2,3.444444444,7_3_1_2_7_1_1_1_8,3.444444444,2_5_1_8_1_1_1_9_3
reading_bar_charts_3,mean_median_and_mode,3.777777778,6_3_1_7_7_5_1_2_2,2.555555556,4_1_1_5_3_5_1_1_2,4.777777778,6_4_1_7_6_7_1_9_2
reading_bar_charts_3,reading_tables_2,6.222222222,7_4_6_5_7_8_5_6_8,3.555555556,5_4_2_2_4_7_2_1_5,5.777777778,7_4_5_7_7_6_5_6_5
reading_bar_charts_3,variance,4.555555556,6_4_1_7_2_5_1_8_7,7.111111111,2_6_9_5_8_9_9_7_9,2.777777778,6_4_1_6_1_1_1_4_1
estimation_with_decimals,rounding_whole_numbers,7.6,9_8_8_8_8_6_8_6_7_8,4,2_2_5_5_2_7_5_4_5_3,7.1,8_8_8_8_8_5_5_6_7_8
estimation_with_decimals,metric_weight_unit_conversion,2.8,1_1_1_1_3_4_4_4_3_6,3.6,1_6_4_1_2_2_6_4_4_6,3.7,1_1_2_2_5_8_5_5_3_5
estimation_with_decimals,rounding_numbers,7.2,2_8_9_9_8_6_9_6_6_9,3.5,2_4_5_5_2_3_5_2_4_3,7.1,9_8_9_8_7_5_6_6_4_9
estimation_with_decimals,metric_area_unit_conversion,2.6,3_1_1_1_2_3_2_4_3_6,4.5,4_6_7_1_2_5_6_4_4_6,3,2_1_2_2_2_5_4_4_3_5
multiplying_fractions_word_problems,multiplying_mixed_numbers_1,6.111111111,6_6_4_7_7_4_4_9_8,4.888888889,3_7_6_4_5_4_7_4_4,6.444444444,6_5_5_7_7_6_5_9_8
multiplying_fractions_word_problems,arithmetic_word_problems_2,6.222222222,6_4_7_7_6_4_5_9_8,5,3_5_5_4_5_4_6_7_6,5.444444444,6_5_8_6_6_5_6_3_4
multiplying_fractions_word_problems,multiplying_fractions,7.444444444,8_7_9_7_7_6_5_9_9,4.111111111,3_4_5_3_6_4_5_3_4,7.666666667,8_7_9_7_7_7_6_9_9
multiplying_fractions_word_problems,multiplying_fractions_0.5,7.555555556,9_6_9_7_9_6_5_9_8,3,3_2_5_2_4_3_4_1_3,7.777777778,7_7_9_6_9_8_6_9_9
multiplying_fractions_word_problems,simplifying_fractions,5.444444444,5_5_6_2_7_6_3_8_7,1.888888889,1_1_1_2_3_2_2_1_4,6.111111111,4_6_6_2_7_8_6_9_7
multiplying_fractions_word_problems,congruent_angles,1.222222222,2_1_1_1_1_2_1_1_1,3.111111111,1_5_1_6_2_3_3_4_3,1.444444444,2_1_1_1_1_2_1_2_2
volume_container,volume_box_cover,7,6_5_9_7_5_8_9,6.285714286,3_8_7_4_8_9_5,5.857142857,5_3_9_8_6_1_9
volume_container,volume_box,8,8_7_9_8_6_9_9,5.285714286,4_5_7_4_5_7_5,7.285714286,9_8_7_9_8_1_9
volume_container,area_of_squares_and_rectangles,5.714285714,6_4_7_6_3_8_6,1.571428571,2_1_1_2_2_1_2,5.571428571,6_5_7_3_5_9_4
volume_container,same_side_exterior_angles_2,1.428571429,3_1_1_1_1_2_1,5.285714286,2_7_6_6_7_7_2,2.142857143,3_1_2_1_1_5_2
volume_container,area_of_triangles_1,3.571428571,4_1_7_1_1_7_4,2.428571429,2_2_1_3_1_5_3,4,5_1_8_1_1_8_4
volume_container,volume_space,7.714285714,6_7_9_8_6_9_9,5.571428571,6_5_7_4_5_7_5,6.714285714,4_8_7_9_8_2_9
systems_of_equations_with_substitution,solutions_to_systems_of_equations,8.555555556,9_8_9_9_8_8_8_9_9,5.333333333,5_5_5_5_5_6_7_5_5,7.333333333,8_7_9_9_8_4_7_9_5
systems_of_equations_with_substitution,graphing_systems_of_equations,6.444444444,6_6_4_9_2_8_7_9_7,6.111111111,6_5_5_8_4_7_6_7_7,5,4_6_6_9_2_3_8_3_4
systems_of_equations_with_substitution,systems_of_equations_word_problems,7.222222222,7_4_8_7_7_8_6_9_9,7.333333333,7_6_7_8_8_7_8_9_6,4.333333333,4_4_5_9_2_3_5_3_4
systems_of_equations_with_substitution,similar_triangles_review,1.333333333,1_3_1_1_1_1_1_2_1,3.333333333,1_4_4_6_6_2_1_5_1,2.444444444,2_2_1_2_1_1_1_9_3
systems_of_equations_with_substitution,exponents_1,1.666666667,1_3_1_2_1_1_1_3_2,3.333333333,1_6_1_6_2_7_1_5_1,1.777777778,2_3_1_2_1_1_1_2_3
systems_of_equations_with_substitution,systems_of_equations,8.333333333,9_8_7_9_9_9_8_8_8,4.666666667,5_5_5_5_5_2_5_5_5,8.222222222,9_8_9_9_9_8_9_9_4
systems_of_equations_with_substitution,graphing_linear_equations,4.777777778,2_6_3_6_1_7_3_8_7,5.111111111,6_5_2_8_2_7_2_7_7,4.111111111,3_4_2_8_1_3_5_8_3
finding_axis_of_symmetry,logical_arguments_deductive_reasoning,2.090909091,1_3_1_1_1_1_1_2_6_5_1,5.818181818,6_7_7_7_7_3_2_7_6_5_7,3.181818182,1_3_1_1_3_1_6_4_8_5_2
finding_axis_of_symmetry,axis_of_symmetry,8.454545455,9_8_9_9_9_9_8_8_7_8_9,3.545454545,5_5_5_1_5_5_1_2_3_3_4,8.272727273,9_6_9_9_9_9_9_8_7_7_9
finding_axis_of_symmetry,judging_axis_of_symmetry,7.454545455,8_8_8_9_8_6_8_7_6_6_8,3.727272727,5_5_6_1_5_5_1_2_5_3_3,7.727272727,9_7_7_9_9_7_9_7_6_6_9
finding_axis_of_symmetry,similar_triangles_1,2.454545455,2_3_1_1_5_1_2_3_2_3_4,5.636363636,6_6_8_7_6_8_7_2_5_4_3,3.090909091,1_4_1_2_3_1_3_8_3_3_5
place_value,adding_decimals,5,5_5_6_7_6_2_6_3_8_3_3_6,7,6_9_8_8_6_8_7_5_8_6_7_6,2.666666667,5_1_1_2_4_1_3_3_2_3_4_3
place_value,adding_decimals_2,5.166666667,6_6_7_7_6_2_6_4_8_2_2_6,7,6_9_7_7_6_8_6_6_8_7_8_6,2.75,5_1_2_2_4_1_4_4_1_2_4_3
place_value,division_3,2.5,4_5_3_2_1_1_3_2_2_2_2_3,7.583333333,7_9_8_8_6_9_8_6_9_8_7_6,2.083333333,5_1_1_2_1_1_4_3_1_1_3_2
place_value,hundred_million_adding_and_subtracting,5.166666667,6_7_7_8_7_1_4_3_7_2_4_6,7.166666667,6_9_7_7_8_9_5_7_7_7_8_6,3.333333333,6_1_2_3_4_1_4_3_2_2_7_5
reading_bar_charts_1,creating_bar_charts_1,7.538461538,8_9_8_8_1_8_9_7_9_7_9_7_8,5.846153846,2_6_6_9_9_6_5_7_5_6_5_4_6,5.692307692,8_9_6_1_2_5_9_4_8_6_4_8_4
reading_bar_charts_1,reading_stem_and_leaf_plots,5.153846154,6_5_7_2_6_6_1_3_8_6_4_7_6,6.615384615,7_5_7_8_5_7_8_7_8_6_7_7_4,3.769230769,4_6_6_1_6_4_1_3_2_5_3_3_5
reading_bar_charts_1,reading_tables_1,7.230769231,9_5_9_3_9_7_6_9_9_6_8_6_8,5.076923077,5_5_5_6_5_5_5_5_5_6_6_4_4,6.230769231,5_6_9_4_8_7_5_6_8_6_3_6_8
reading_bar_charts_1,logarithms_2,1.384615385,3_1_1_1_1_1_1_1_2_3_1_1_1,7.923076923,6_9_9_9_9_8_9_2_9_7_9_8_9,1.615384615,6_1_1_1_1_1_1_2_1_3_1_1_1
reading_bar_charts_1,reading_tables_2,4.692307692,4_5_7_3_9_6_5_4_1_6_3_2_6,5.769230769,6_6_1_8_6_5_6_6_8_5_8_8_2,4.307692308,4_4_8_2_3_7_5_4_2_6_2_3_6
divisibility_intuition,scientific_notation,1.8,1_3_2_1_1_2_2_1_3_2,5.7,7_6_8_2_8_8_2_3_6_7,2.2,3_3_2_1_1_2_3_1_3_3
divisibility_intuition,division_2.9,4.5,1_8_5_2_4_4_7_1_6_7,3.9,9_5_1_1_4_3_5_1_6_4,4.1,1_5_8_1_6_3_6_1_4_6
divisibility_intuition,number_line_2,3.2,4_3_9_1_1_4_2_1_4_3,2.5,1_2_1_1_2_5_4_1_5_3,4,2_7_9_1_1_4_6_1_4_5
divisibility_intuition,adding_subtracting_mixed_numbers_1,2.5,3_2_5_1_1_2_4_1_2_4,5,6_2_8_7_4_2_5_7_6_3,2.8,2_8_2_1_1_2_4_1_3_4
divisibility_intuition,division_1.5,5.9,5_8_5_2_7_8_7_2_7_8,3,3_5_1_1_6_2_3_1_5_3,5,7_5_2_1_6_8_8_2_5_6
divisibility_intuition,division_2,6.2,7_8_5_2_7_8_6_3_8_8,5,7_3_8_2_6_3_7_2_6_6,4.1,4_8_2_1_6_7_3_2_3_5
divisibility_intuition,divisibility_tests,6.7,5_8_8_5_7_8_6_4_8_8,5.6,3_7_8_3_7_4_7_5_6_6,4.7,6_3_2_6_6_7_4_5_4_4
axis_of_symmetry,judging_axis_of_symmetry,8.375,8_9_7_9_9_9_8_8,4.375,3_5_5_5_5_5_5_2,8.125,6_9_8_9_8_9_7_9
axis_of_symmetry,addition_1,1,1_1_1_1_1_1_1_1,2.125,1_1_2_1_5_1_5_1,1.75,2_4_1_1_2_1_2_1
axis_of_symmetry,multiplying_radicals,1.25,1_1_1_1_3_1_1_1,7.875,6_8_9_8_7_9_9_7,1.375,2_1_1_1_3_1_1_1
axis_of_symmetry,dividing_decimals,1,1_1_1_1_1_1_1_1,7.25,7_7_8_5_7_9_8_7,1.375,1_1_1_1_2_1_2_2
axis_of_symmetry,congruent_triangles_2,4.875,8_2_1_8_8_1_7_4,6,3_6_7_7_6_8_5_6,4,6_2_1_3_9_1_6_4
axis_of_symmetry,similar_triangles_2,3.25,3_2_1_8_3_1_4_4,6.375,6_7_8_6_5_9_6_4,3.625,2_2_1_6_7_1_4_6
axis_of_symmetry,similar_triangles_1,3.25,4_1_1_6_5_1_6_2,5.5,2_7_6_7_5_8_7_2,3.125,4_1_1_5_4_1_3_6
measuring_segments,points_lines_and_planes,3.916666667,3_6_4_8_1_1_2_1_9_6_3_3,7.5,7_8_8_9_9_7_9_6_9_7_3_8,2.333333333,3_5_1_1_3_4_1_1_1_1_5_2
measuring_segments,number_line_2,7,8_6_8_7_7_7_2_9_9_7_7_7,4.666666667,4_2_2_7_5_6_7_5_2_6_4_6,5.333333333,8_7_8_3_4_4_1_8_8_1_8_4
measuring_segments,midpoint_of_a_segment,6.166666667,7_6_7_6_4_7_4_7_8_4_6_8,6.916666667,6_7_7_8_8_7_7_9_1_8_6_9,3.416666667,4_3_4_3_2_3_2_4_9_1_4_2
measuring_segments,area_of_a_circle,1.75,2_3_1_2_1_1_3_1_1_2_2_2,7.583333333,8_8_8_7_9_7_7_7_9_8_7_6,1.583333333,2_4_1_3_1_1_1_1_1_1_2_1
measuring_segments,recognizing_rays_lines_and_line_segments,3.916666667,3_3_4_5_2_4_2_6_2_6_3_7,2.916666667,4_5_1_3_2_1_5_2_1_5_2_4,6.833333333,7_6_7_9_7_8_4_7_7_8_4_8
judging_axis_of_symmetry,finding_axis_of_symmetry,8,9_7_8_8_7_9_8_8,5.375,5_5_7_7_6_1_5_7,6.5,9_8_4_6_5_9_7_4
judging_axis_of_symmetry,axis_of_symmetry,8.375,9_9_8_8_8_9_7_9,5.5,5_5_6_6_5_7_5_5,7.5,9_9_7_8_7_4_7_9
judging_axis_of_symmetry,parabola_intuition_3,2.75,1_1_1_1_6_8_2_2,7.625,9_9_8_9_8_2_8_8,2.375,1_1_1_1_4_8_2_1
judging_axis_of_symmetry,similar_triangles_1,3.5,9_3_1_1_4_4_3_3,6.5,5_6_7_7_7_9_5_6,2.625,7_2_1_1_3_1_4_2
square_roots_2,exponents_2,3.153846154,4_2_3_3_3_7_2_2_2_3_2_2_6,5.846153846,6_8_8_6_9_4_8_7_5_4_2_2_7,3.615384615,4_2_5_3_3_6_1_2_4_3_8_4_2
square_roots_2,exponents_1,3.615384615,3_2_5_2_3_8_1_2_3_2_3_6_7,3.076923077,2_1_8_2_7_3_1_1_3_3_4_4_1,4.076923077,7_2_3_2_3_7_2_4_6_2_6_6_3
square_roots_2,simplifying_radicals,6.923076923,5_9_7_6_9_6_7_9_6_6_5_7_8,4.538461538,6_5_7_4_5_4_2_3_5_4_3_7_4,6.153846154,3_9_3_6_8_6_7_8_7_7_6_3_7
square_roots_2,square_roots,7.230769231,7_9_8_7_9_9_9_9_5_4_4_7_7,3.230769231,2_3_1_6_7_3_3_1_6_4_1_1_4,7.384615385,7_8_8_7_3_9_8_9_6_6_9_8_8
factoring_polynomials_by_grouping_1,writing_fractions_1,3,3_5_1_6_3_1_1_3_3_6_3_3_1,1.615384615,2_4_1_1_1_2_1_1_2_1_2_2_1,3.846153846,7_6_2_4_6_2_1_2_4_8_3_4_1
factoring_polynomials_by_grouping_1,factoring_polynomials_1,7.846153846,9_8_8_7_9_7_7_8_8_9_7_7_8,4.461538462,4_5_5_2_5_6_3_2_5_5_6_5_5,6.769230769,8_6_7_8_9_7_7_3_8_6_3_7_9
factoring_polynomials_by_grouping_1,factoring_polynomials_2,7.846153846,9_8_8_7_9_7_7_7_9_8_7_8_8,4.846153846,5_5_5_2_5_6_3_7_5_5_5_5_5,6.230769231,6_6_7_8_6_4_7_4_8_6_3_7_9
factoring_difference_of_squares_1,multiplying_expressions_1,6.454545455,4_8_7_6_8_5_7_8_4_7_7,5.181818182,5_5_3_7_4_6_6_4_2_8_7,5.454545455,6_7_7_6_8_4_7_9_2_1_3
factoring_difference_of_squares_1,factoring_difference_of_squares_2,8.272727273,8_9_8_9_9_6_7_9_9_9_8,6.363636364,7_5_7_5_6_6_8_5_6_9_6,5.363636364,3_4_8_5_8_4_9_6_7_1_4
factoring_difference_of_squares_1,factoring_polynomials_1,7.454545455,7_8_8_7_8_7_8_9_5_7_8,6.454545455,5_5_6_7_6_6_7_7_8_9_5,5.818181818,7_6_8_6_8_4_5_5_5_1_9
factoring_difference_of_squares_1,multiplying_expressions_0.5,7.090909091,4_8_6_7_8_6_7_9_8_7_8,5.636363636,4_5_8_6_4_4_5_5_6_9_6,6.636363636,5_7_6_7_8_6_9_9_8_1_7
factoring_difference_of_squares_1,multiplying_polynomials,5.818181818,4_7_4_5_7_6_5_9_4_6_7,6.181818182,4_7_8_7_7_5_7_5_2_9_7,3.909090909,4_3_7_6_4_6_4_3_2_1_3
factoring_difference_of_squares_3,factoring_difference_of_squares_1,7.714285714,7_8_9_9_8_8_6_7_8_5_8_8_9_8,3.642857143,1_6_1_4_6_3_4_5_2_4_2_4_5_4,7.571428571,9_8_8_9_9_8_8_6_8_6_4_7_7_9
factoring_difference_of_squares_3,factoring_difference_of_squares_2,7.785714286,8_9_9_9_8_9_7_7_6_4_8_8_9_8,3.857142857,5_4_2_5_4_3_4_4_2_3_5_4_5_4,7.428571429,7_7_9_9_6_9_9_7_3_6_8_7_8_9
factoring_difference_of_squares_3,multiplying_expressions_0.5,5.5,4_6_7_6_5_6_4_5_7_4_4_4_7_8,3.428571429,5_2_1_4_5_2_4_3_3_2_3_5_5_4,5.785714286,6_6_4_7_7_5_6_4_8_6_5_4_7_6
herons_formula,areas_of_circles_and_sectors,3,1_4_2_3_6_3_2_3,4.125,6_4_3_4_3_4_4_5,4.125,1_2_3_5_7_3_7_5
herons_formula,shaded_areas,3.5,1_5_3_2_6_2_2_7,4.25,4_3_4_2_7_5_3_6,4.125,1_5_4_5_3_5_6_4
herons_formula,angles_2,2,1_1_2_1_4_3_2_2,3.5,6_3_2_2_2_7_3_3,3.375,1_1_3_1_8_3_7_3
multiplying_expressions_0.5,multiplying_polynomials,7.166666667,7_8_9_8_4_7,6.666666667,7_7_7_6_6_7,4.5,4_7_3_7_3_3
multiplying_expressions_0.5,multiplying_expressions_1,8.5,9_8_9_9_8_8,5.666666667,6_4_5_6_7_6,7,7_9_7_9_6_4
multiplying_expressions_0.5,adding_and_subtracting_polynomials,4.5,3_6_7_1_3_7,3.833333333,4_3_1_6_6_3,5.166666667,5_6_7_2_4_7
multiplying_expressions_0.5,recognizing_conic_sections,1.666666667,1_1_3_1_2_2,1.666666667,1_2_3_1_1_2,2,1_1_3_1_5_1
reading_stem_and_leaf_plots,divisibility,2,2_1_1_4_1_2_4_1,7,5_8_6_6_9_9_6_7,2.375,2_1_1_3_1_2_5_4
reading_stem_and_leaf_plots,simplifying_radicals,1.25,1_1_1_1_1_1_2_2,6.25,1_7_7_7_8_6_7_7,1.625,2_1_1_2_1_1_3_2
reading_stem_and_leaf_plots,reading_tables_1,6.625,6_2_8_9_5_6_9_8,3.625,3_1_4_3_5_3_5_5,6.5,6_3_8_9_7_7_7_5
reading_stem_and_leaf_plots,reading_tables_2,5,4_2_8_8_1_4_9_4,4.5,5_6_4_5_5_2_6_3,5.125,3_3_8_8_1_6_4_8
reading_stem_and_leaf_plots,reading_bar_charts_1,6.375,6_2_8_9_5_7_9_5,4.25,6_5_4_3_5_2_5_4,7,6_5_8_8_6_6_9_8
reading_stem_and_leaf_plots,telling_time_0.5,3.25,3_1_1_6_1_8_5_1,2.75,6_1_3_3_3_4_1_1,3.5,3_1_1_7_1_7_7_1
absolute_value_of_complex_numbers,adding_and_subtracting_complex_numbers,5.444444444,4_3_4_3_7_7_8_6_7,2.666666667,1_1_2_2_4_2_6_2_4,5.444444444,4_2_4_5_8_8_3_7_8
absolute_value_of_complex_numbers,imaginary_unit_powers,4.888888889,3_2_2_2_6_8_6_7_8,3,5_1_3_3_5_1_2_3_4,5.333333333,3_1_4_5_8_9_4_7_7
absolute_value_of_complex_numbers,pythagorean_theorem_1,5,7_5_7_6_2_6_1_3_8,3,1_3_3_6_4_3_2_3_2,3.333333333,6_2_3_1_2_7_1_6_2
absolute_value_of_complex_numbers,the_complex_plane,5.555555556,8_1_3_2_7_8_6_7_8,2.777777778,1_1_2_2_3_3_6_5_2,5.222222222,9_1_3_3_7_7_4_6_7
order_of_operations,perimeter_1,3.3,1_3_3_5_2_3_3_3_4_6,2.3,2_1_1_1_2_4_1_6_2_3,4.6,1_1_7_8_2_1_9_5_7_5
order_of_operations,properties_of_numbers_1,4.6,6_3_8_5_5_3_4_3_4_5,3.2,3_1_1_8_3_2_1_6_3_4,5.7,6_6_7_1_7_5_8_4_7_6
order_of_operations,properties_of_numbers_2,5.1,6_3_3_7_6_5_2_5_7_7,2,1_1_1_3_2_1_1_7_1_2,6.4,3_5_7_8_6_7_8_6_8_6
order_of_operations,multiplying_and_dividing_negative_numbers,4.4,6_4_4_2_3_2_2_8_7_6,4.5,5_2_1_6_4_4_7_5_5_6,4.8,6_6_6_2_6_3_3_6_6_4
lhopitals_rule,limits_2,6.888888889,7_6_7_5_7_8_6_8_8,5,4_5_9_8_3_3_5_4_4,6.111111111,7_5_3_2_8_9_6_7_8
lhopitals_rule,derivatives_1,5.888888889,7_7_7_5_6_6_1_8_6,6.222222222,4_5_9_7_6_3_9_7_6,5.333333333,7_5_7_4_4_7_1_8_5
time_word_problem_4,subtraction_3,5.75,6_6_6_7_3_5_6_5_3_9_6_7,2.833333333,3_1_3_4_2_1_2_5_2_5_3_3,5.083333333,3_5_7_7_4_5_6_5_1_6_6_6
time_word_problem_4,time_units_transformation_1,6.333333333,4_7_6_6_4_6_4_8_8_8_7_8,3.5,2_1_3_5_6_1_4_5_2_6_4_3,6.5,3_8_7_5_7_7_6_7_7_6_8_7
time_word_problem_4,telling_time_2,5.166666667,4_6_4_4_2_3_6_7_6_6_7_7,2,1_1_3_4_4_1_1_3_1_2_2_1,5.25,4_3_7_6_6_2_8_8_3_7_7_2
time_word_problem_4,time_word_problem_2,7.916666667,8_9_6_6_8_8_9_9_9_7_8_8,5,5_5_5_5_6_3_5_5_5_7_5_4,6.75,8_9_5_5_7_9_6_8_9_3_5_7
inscribed_angles_3,inscribed_angles_2,8.1,6_9_9_9_9_8_8_7_8_8,4.5,3_5_3_5_5_6_4_5_5_4,7.6,6_9_9_8_9_4_9_5_8_9
